person;trip_id;dep_time;trav_time;wait_time;distance;mode;start_link;start_x;start_y;end_link;end_x;end_y;access_stop_id;egress_stop_id;transit_line;transit_route
1;1_1;06:00:00;00:00:00;00:00:00;0;walk;1;0.0;0.0;1;-200.0;0.0;;;;
1;1_1;06:00:00;00:42:02;00:30:10;6039;pt;1;-200.0;0.0;5;4000.0;0.0;9999;2;line2;line2
1;1_1;06:42:02;00:00:00;00:00:00;0;walk;5;4000.0;0.0;12;4000.0;0.0;;;;
1;1_2;06:47:02;00:00:00;00:00:00;0;walk;12;4000.0;0.0;5;4000.0;0.0;;;;
1;1_2;06:47:02;00:35:30;00:25:00;7039;pt;5;4000.0;0.0;9;2000.0;1000.0;2;4;line2;line2
1;1_2;07:22:32;00:00:00;00:00:00;0;walk;9;2000.0;1000.0;14;2000.0;1000.0;;;;
1;1_3;07:24:32;01:02:49;00:00:00;3141;walk;14;2000.0;1000.0;1;-200.0;0.0;;;;
2;2_1;06:00:00;00:00:00;00:00:00;0;walk;1;0.0;0.0;1;-200.0;0.0;;;;
2;2_1;06:00:00;00:17:52;00:10:09;4000;pt;1;-200.0;0.0;4;2000.0;0.0;9999;1;line1;line1
2;2_1;06:17:52;00:00:00;00:00:00;0;walk;4;2000.0;0.0;11;2000.0;0.0;;;;
2;2_2;06:27:52;00:00:00;00:00:00;0;walk;11;2000.0;0.0;4;2000.0;0.0;;;;
2;2_2;06:27:52;00:09:10;00:04:10;2000;pt;4;2000.0;0.0;5;4000.0;0.0;1;2;line1;line1
2;2_2;06:37:02;00:00:00;00:00:00;0;walk;5;4000.0;0.0;12;4000.0;0.0;;;;
2;2_3;06:40:02;00:00:00;00:00:00;0;walk;12;4000.0;0.0;5;4000.0;0.0;;;;
2;2_3;06:40:02;00:32:30;00:22:00;7039;pt;5;4000.0;0.0;9;2000.0;1000.0;2;4;line2;line2
2;2_3;07:12:32;00:00:00;00:00:00;0;walk;9;2000.0;1000.0;14;2000.0;1000.0;;;;
2;2_4;07:14:32;01:02:49;00:00:00;3141;walk;14;2000.0;1000.0;1;-200.0;0.0;;;;
3;3_1;06:00:00;00:00:00;00:00:00;0;walk;1;0.0;0.0;1;-200.0;0.0;;;;
3;3_1;06:00:00;00:32:02;00:20:10;6039;pt;1;-200.0;0.0;5;4000.0;0.0;9999;2;line2;line2
3;3_1;06:32:02;00:00:00;00:00:00;0;walk;5;4000.0;0.0;12;4000.0;0.0;;;;
3;3_2;06:34:02;00:00:00;00:00:00;0;walk;12;4000.0;0.0;5;4000.0;0.0;;;;
3;3_2;06:34:02;00:28:30;00:18:00;7039;pt;5;4000.0;0.0;9;2000.0;1000.0;2;4;line2;line2
3;3_2;07:02:32;00:00:00;00:00:00;0;walk;9;2000.0;1000.0;14;2000.0;1000.0;;;;
3;3_3;07:05:32;01:02:49;00:00:00;3141;walk;14;2000.0;1000.0;1;-200.0;0.0;;;;
4;4_1;06:00:00;00:00:00;00:00:00;0;walk;1;0.0;0.0;1;-200.0;0.0;;;;
4;4_1;06:00:00;00:17:51;00:10:08;4000;pt;1;-200.0;0.0;4;2000.0;0.0;9999;1;line1;line1
4;4_1;06:17:51;00:00:00;00:00:00;0;walk;4;2000.0;0.0;11;2000.0;0.0;;;;
4;4_2;06:27:51;00:00:00;00:00:00;0;walk;11;2000.0;0.0;4;2000.0;0.0;;;;
4;4_2;06:27:51;00:09:10;00:04:10;2000;pt;4;2000.0;0.0;5;4000.0;0.0;1;2;line1;line1
4;4_2;06:37:01;00:00:00;00:00:00;0;walk;5;4000.0;0.0;12;4000.0;0.0;;;;
4;4_3;06:39:01;00:00:00;00:00:00;0;walk;12;4000.0;0.0;5;4000.0;0.0;;;;
4;4_3;06:39:01;00:33:30;00:23:00;7039;pt;5;4000.0;0.0;9;2000.0;1000.0;2;4;line2;line2
4;4_3;07:12:31;00:00:00;00:00:00;0;walk;9;2000.0;1000.0;14;2000.0;1000.0;;;;
4;4_4;07:15:31;01:02:49;00:00:00;3141;walk;14;2000.0;1000.0;1;-200.0;0.0;;;;
5;5_1;06:00:00;00:00:00;00:00:00;0;walk;1;0.0;0.0;1;-200.0;0.0;;;;
5;5_1;06:00:00;00:32:01;00:20:09;6039;pt;1;-200.0;0.0;5;4000.0;0.0;9999;2;line2;line2
5;5_1;06:32:01;00:00:00;00:00:00;0;walk;5;4000.0;0.0;12;4000.0;0.0;;;;
5;5_2;06:34:01;00:00:00;00:00:00;0;walk;12;4000.0;0.0;5;4000.0;0.0;;;;
5;5_2;06:34:01;00:28:30;00:18:00;7039;pt;5;4000.0;0.0;9;2000.0;1000.0;2;4;line2;line2
5;5_2;07:02:31;00:00:00;00:00:00;0;walk;9;2000.0;1000.0;14;2000.0;1000.0;;;;
5;5_3;07:05:31;01:02:49;00:00:00;3141;walk;14;2000.0;1000.0;1;-200.0;0.0;;;;
6;6_1;06:00:00;00:00:00;00:00:00;0;walk;1;0.0;0.0;1;-200.0;0.0;;;;
6;6_1;06:00:00;00:22:02;00:10:06;6039;pt;1;-200.0;0.0;5;4000.0;0.0;9999;2;line2;line2
6;6_1;06:22:02;00:00:00;00:00:00;0;walk;5;4000.0;0.0;12;4000.0;0.0;;;;
6;6_2;06:24:02;00:00:00;00:00:00;0;walk;12;4000.0;0.0;5;4000.0;0.0;;;;
6;6_2;06:24:02;00:18:29;00:08:01;7039;pt;5;4000.0;0.0;9;2000.0;1000.0;2;4;line2;line2
6;6_2;06:42:31;00:00:00;00:00:00;0;walk;9;2000.0;1000.0;14;2000.0;1000.0;;;;
6;6_3;06:45:31;01:02:49;00:00:00;3141;walk;14;2000.0;1000.0;1;-200.0;0.0;;;;
7;7_1;06:00:00;00:00:00;00:00:00;0;walk;1;0.0;0.0;1;-200.0;0.0;;;;
7;7_1;06:00:00;00:07:48;00:05:02;4000;pt;1;-200.0;0.0;4;2000.0;0.0;9999;1;line1;line1
7;7_1;06:07:48;00:00:00;00:00:00;0;walk;4;2000.0;0.0;11;2000.0;0.0;;;;
7;7_2;06:17:48;00:00:00;00:00:00;0;walk;11;2000.0;0.0;4;2000.0;0.0;;;;
7;7_2;06:17:48;00:09:14;00:00:06;2000;pt;4;2000.0;0.0;5;4000.0;0.0;1;2;line1;line1
7;7_2;06:27:02;00:00:00;00:00:00;0;walk;5;4000.0;0.0;12;4000.0;0.0;;;;
7;7_3;06:29:02;00:00:00;00:00:00;0;walk;12;4000.0;0.0;5;4000.0;0.0;;;;
7;7_3;06:29:02;00:23:30;00:13:02;7039;pt;5;4000.0;0.0;9;2000.0;1000.0;2;4;line2;line2
7;7_3;06:52:32;00:00:00;00:00:00;0;walk;9;2000.0;1000.0;14;2000.0;1000.0;;;;
7;7_4;06:55:32;01:02:49;00:00:00;3141;walk;14;2000.0;1000.0;1;-200.0;0.0;;;;
8;8_1;06:00:00;00:00:00;00:00:00;0;walk;1;0.0;0.0;1;-200.0;0.0;;;;
8;8_1;06:00:00;00:22:01;00:10:05;6039;pt;1;-200.0;0.0;5;4000.0;0.0;9999;2;line2;line2
8;8_1;06:22:01;00:00:00;00:00:00;0;walk;5;4000.0;0.0;12;4000.0;0.0;;;;
8;8_2;06:25:01;00:00:00;00:00:00;0;walk;12;4000.0;0.0;5;4000.0;0.0;;;;
8;8_2;06:25:01;00:17:31;00:07:03;7039;pt;5;4000.0;0.0;9;2000.0;1000.0;2;4;line2;line2
8;8_2;06:42:32;00:00:00;00:00:00;0;walk;9;2000.0;1000.0;14;2000.0;1000.0;;;;
8;8_3;06:44:32;01:02:49;00:00:00;3141;walk;14;2000.0;1000.0;1;-200.0;0.0;;;;
9;9_1;06:00:00;00:00:00;00:00:00;0;walk;1;0.0;0.0;1;-200.0;0.0;;;;
9;9_1;06:00:00;00:07:47;00:05:01;4000;pt;1;-200.0;0.0;4;2000.0;0.0;9999;1;line1;line1
9;9_1;06:07:47;00:00:00;00:00:00;0;walk;4;2000.0;0.0;11;2000.0;0.0;;;;
9;9_2;06:17:47;00:00:00;00:00:00;0;walk;11;2000.0;0.0;4;2000.0;0.0;;;;
9;9_2;06:17:47;00:09:14;00:00:06;2000;pt;4;2000.0;0.0;5;4000.0;0.0;1;2;line1;line1
9;9_2;06:27:01;00:00:00;00:00:00;0;walk;5;4000.0;0.0;12;4000.0;0.0;;;;
9;9_3;06:29:01;00:00:00;00:00:00;0;walk;12;4000.0;0.0;5;4000.0;0.0;;;;
9;9_3;06:29:01;00:23:30;00:13:02;7039;pt;5;4000.0;0.0;9;2000.0;1000.0;2;4;line2;line2
9;9_3;06:52:31;00:00:00;00:00:00;0;walk;9;2000.0;1000.0;14;2000.0;1000.0;;;;
9;9_4;06:55:31;01:02:49;00:00:00;3141;walk;14;2000.0;1000.0;1;-200.0;0.0;;;;
10;10_1;06:00:00;00:00:00;00:00:00;0;walk;1;0.0;0.0;1;-200.0;0.0;;;;
10;10_1;06:00:00;00:42:01;00:30:09;6039;pt;1;-200.0;0.0;5;4000.0;0.0;9999;2;line2;line2
10;10_1;06:42:01;00:00:00;00:00:00;0;walk;5;4000.0;0.0;12;4000.0;0.0;;;;
10;10_2;06:44:01;00:00:00;00:00:00;0;walk;12;4000.0;0.0;5;4000.0;0.0;;;;
10;10_2;06:44:01;00:38:30;00:28:00;7039;pt;5;4000.0;0.0;9;2000.0;1000.0;2;4;line2;line2
10;10_2;07:22:31;00:00:00;00:00:00;0;walk;9;2000.0;1000.0;14;2000.0;1000.0;;;;
10;10_3;07:25:31;01:02:49;00:00:00;3141;walk;14;2000.0;1000.0;1;-200.0;0.0;;;;
